commit_hash,label,predicted_label,predicted_prob,is_anomaly,reason
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,Armin Ronacher,0.66,False,
b15ad394279fc3b7f998fa56857f334a7c0156f6,Armin Ronacher,David Lord,0.5721666666666667,True,predicted_label_mismatch
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,Armin Ronacher,Armin Ronacher,0.65,False,
44b42e0fbd93d86e0f4e929bda8e5fb63e81035d,Armin Ronacher,Armin Ronacher,0.5343809523809524,False,
3b36bef2e6165bb4dad73d17f23ee1879e99f497,Armin Ronacher,Armin Ronacher,1.0,False,
4aa76212d1be9b17a57249549c2a73fb10b6cda8,Armin Ronacher,Armin Ronacher,0.95,False,
625eba4bb403296a8bbc1e72cc9cf4a5126f6c02,Armin Ronacher,Armin Ronacher,0.85,False,
4edec48b74dbb9d571e927b69b24c30ec0624975,Armin Ronacher,Armin Ronacher,0.81,False,
727c701686c18c4a27ca523eb0c5862d497be24e,Armin Ronacher,David Lord,0.5075,True,predicted_label_mismatch
a9d4ea81da28ee9c894bf9d45adc4cfa9d52fddc,Armin Ronacher,David Lord,0.539,True,predicted_label_mismatch
7d6b8e9ab3e738d69e39ad53a7c0f6a552d5284a,Armin Ronacher,Armin Ronacher,0.89,False,
3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,Armin Ronacher,Armin Ronacher,0.84,False,
9dfab582d065521e9350327801ed2c5ced1c8fa1,Armin Ronacher,Armin Ronacher,0.96,False,
8e9bd5f009bb8756a2a7d76a4b792323eeee49d6,Armin Ronacher,Armin Ronacher,0.74,False,
4e1b3e1134eb478563bc434d794085d0a412cb84,Armin Ronacher,Armin Ronacher,0.8883333333333333,False,
05f36c7f7e2df36ee28f90d99632162579b1287c,Armin Ronacher,Armin Ronacher,0.93,False,
1fff3e598126a084348ec2c112fdd3bc6b9a1ee0,Armin Ronacher,Armin Ronacher,0.96,False,
574e81f9c8bbdc41958e1e7a7613633b091101f8,Armin Ronacher,Armin Ronacher,0.84,False,
df929c6c77ea5490a969275e45075c29711a498c,Armin Ronacher,Armin Ronacher,0.82,False,
8171da88a49eba769d313a51591ee8575be59762,Armin Ronacher,Armin Ronacher,0.89,False,
85ca089dde8814c4a42ad4574cddce25d60e5e25,Armin Ronacher,Armin Ronacher,0.77,False,
